ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,pbase
21,3,0.0930318832397461,132,OPTIMAL,5.196699167130818,rwlav,100.0,linIVR,100.0
21,3,0.41247105598449707,132,LOCALLY_SOLVED,1.0113266331065032,rwlav,100.0,rIVR,100.0
21,4,0.014929056167602539,42,OPTIMAL,1.4894169382909277,rwlav,100.0,linIVR,100.0
21,4,0.10459709167480469,42,LOCALLY_SOLVED,0.2870120689570193,rwlav,100.0,rIVR,100.0
21,5,0.025899887084960938,62,OPTIMAL,2.1835430634576802,rwlav,100.0,linIVR,100.0
21,5,0.17566609382629395,62,LOCALLY_SOLVED,0.42018774107956924,rwlav,100.0,rIVR,100.0
22,1,0.0312647819519043,60,OPTIMAL,2.4615860720306784,rwlav,100.0,linIVR,100.0
22,1,0.10247206687927246,60,LOCALLY_SOLVED,0.47951666291134504,rwlav,100.0,rIVR,100.0
22,2,0.008005142211914062,29,OPTIMAL,1.1081538321035427,rwlav,100.0,linIVR,100.0
22,2,0.05237603187561035,29,LOCALLY_SOLVED,0.22298890336712565,rwlav,100.0,rIVR,100.0
22,3,0.04534196853637695,100,OPTIMAL,3.635732620135127,rwlav,100.0,linIVR,100.0
22,3,0.23598194122314453,100,LOCALLY_SOLVED,0.7309746132583768,rwlav,100.0,rIVR,100.0
22,4,0.023486852645874023,56,OPTIMAL,2.0658183816595703,rwlav,100.0,linIVR,100.0
22,4,0.09683489799499512,56,LOCALLY_SOLVED,0.40579732606119745,rwlav,100.0,rIVR,100.0
22,5,0.02953815460205078,63,OPTIMAL,2.306129580485134,rwlav,100.0,linIVR,100.0
22,5,0.11297202110290527,63,LOCALLY_SOLVED,0.44995702212113814,rwlav,100.0,rIVR,100.0
22,6,0.038050174713134766,78,OPTIMAL,2.908986578945278,rwlav,100.0,linIVR,100.0
22,6,0.1448819637298584,78,LOCALLY_SOLVED,0.5685003439176802,rwlav,100.0,rIVR,100.0
23,1,0.27077293395996094,195,OPTIMAL,8.158464982507377,rwlav,100.0,linIVR,100.0
23,1,0.5452790260314941,195,LOCALLY_SOLVED,1.6605690330067064,rwlav,100.0,rIVR,100.0
23,2,0.06247711181640625,100,OPTIMAL,3.610307555959156,rwlav,100.0,linIVR,100.0
23,2,0.17283916473388672,100,LOCALLY_SOLVED,0.7008503931967481,rwlav,100.0,rIVR,100.0
23,3,0.0015850067138671875,6,OPTIMAL,0.33866880971872393,rwlav,100.0,linIVR,100.0
23,3,0.02070021629333496,6,LOCALLY_SOLVED,0.1482174732703513,rwlav,100.0,rIVR,100.0
23,4,0.15118002891540527,153,OPTIMAL,6.718073523121686,rwlav,100.0,linIVR,100.0
23,4,0.46918296813964844,153,LOCALLY_SOLVED,1.3338707834380699,rwlav,100.0,rIVR,100.0
23,5,0.05269503593444824,84,OPTIMAL,3.412320470935088,rwlav,100.0,linIVR,100.0
23,5,0.2879369258880615,84,LOCALLY_SOLVED,0.6567257708723871,rwlav,100.0,rIVR,100.0
25,1,0.008873939514160156,26,OPTIMAL,0.9547810117509038,rwlav,100.0,linIVR,100.0
25,1,0.08284187316894531,26,LOCALLY_SOLVED,0.19289748070979473,rwlav,100.0,rIVR,100.0
25,2,0.016170978546142578,40,OPTIMAL,1.492474416726277,rwlav,100.0,linIVR,100.0
25,2,0.09903192520141602,40,LOCALLY_SOLVED,0.28707803897607587,rwlav,100.0,rIVR,100.0
25,3,0.011030912399291992,29,OPTIMAL,1.1010582097558537,rwlav,100.0,linIVR,100.0
25,3,0.07672595977783203,29,LOCALLY_SOLVED,0.21319660905906257,rwlav,100.0,rIVR,100.0
