ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,pbase
20,4,0.09066104888916016,32,LOCALLY_SOLVED,0.44949415051766267,rwlav,100.0,rIVR,100.0
20,5,0.010004043579101562,26,OPTIMAL,1.8821203006007738,rwlav,100.0,linIVR,100.0
20,5,0.0728919506072998,26,LOCALLY_SOLVED,0.3608009493235644,rwlav,100.0,rIVR,100.0
21,1,0.01904010772705078,51,OPTIMAL,1.7881650278709542,rwlav,100.0,linIVR,100.0
21,1,0.09898900985717773,51,LOCALLY_SOLVED,0.3461919385464031,rwlav,100.0,rIVR,100.0
21,2,0.020726919174194336,50,OPTIMAL,1.8739170050825706,rwlav,100.0,linIVR,100.0
21,2,0.11846399307250977,50,LOCALLY_SOLVED,0.3610419356187867,rwlav,100.0,rIVR,100.0
21,3,0.09299302101135254,132,OPTIMAL,5.196699167130818,rwlav,100.0,linIVR,100.0
21,3,0.4307241439819336,132,LOCALLY_SOLVED,1.0113266331065032,rwlav,100.0,rIVR,100.0
21,4,0.01529383659362793,42,OPTIMAL,1.4894169382909277,rwlav,100.0,linIVR,100.0
21,4,0.10556602478027344,42,LOCALLY_SOLVED,0.2870120689570193,rwlav,100.0,rIVR,100.0
21,5,0.025066137313842773,62,OPTIMAL,2.1835430634576802,rwlav,100.0,linIVR,100.0
21,5,0.18395209312438965,62,LOCALLY_SOLVED,0.42018774107956924,rwlav,100.0,rIVR,100.0
22,1,0.03142380714416504,60,OPTIMAL,2.4615860720306784,rwlav,100.0,linIVR,100.0
22,1,0.10514307022094727,60,LOCALLY_SOLVED,0.47951666291134504,rwlav,100.0,rIVR,100.0
22,2,0.008315086364746094,29,OPTIMAL,1.1081538321035427,rwlav,100.0,linIVR,100.0
22,2,0.053256988525390625,29,LOCALLY_SOLVED,0.22298890336712565,rwlav,100.0,rIVR,100.0
22,3,0.045484066009521484,100,OPTIMAL,3.635732620135127,rwlav,100.0,linIVR,100.0
22,3,0.24421906471252441,100,LOCALLY_SOLVED,0.7309746132583768,rwlav,100.0,rIVR,100.0
22,4,0.02412104606628418,56,OPTIMAL,2.0658183816595703,rwlav,100.0,linIVR,100.0
22,4,0.09769701957702637,56,LOCALLY_SOLVED,0.40579732606119745,rwlav,100.0,rIVR,100.0
22,5,0.029520034790039062,63,OPTIMAL,2.306129580485134,rwlav,100.0,linIVR,100.0
22,5,0.11269807815551758,63,LOCALLY_SOLVED,0.44995702212113814,rwlav,100.0,rIVR,100.0
22,6,0.03775906562805176,78,OPTIMAL,2.908986578945278,rwlav,100.0,linIVR,100.0
22,6,0.1479020118713379,78,LOCALLY_SOLVED,0.5685003439176802,rwlav,100.0,rIVR,100.0
23,1,0.2711179256439209,195,OPTIMAL,8.158464982507377,rwlav,100.0,linIVR,100.0
23,1,0.5607259273529053,195,LOCALLY_SOLVED,1.6605690330067064,rwlav,100.0,rIVR,100.0
23,2,0.0630350112915039,100,OPTIMAL,3.610307555959156,rwlav,100.0,linIVR,100.0
23,2,0.1795029640197754,100,LOCALLY_SOLVED,0.7008503931967481,rwlav,100.0,rIVR,100.0
23,3,0.0017080307006835938,6,OPTIMAL,0.33866880971872393,rwlav,100.0,linIVR,100.0
23,3,0.021022796630859375,6,LOCALLY_SOLVED,0.1482174732703513,rwlav,100.0,rIVR,100.0
23,4,0.15035104751586914,153,OPTIMAL,6.718073523121686,rwlav,100.0,linIVR,100.0
23,4,0.4942131042480469,153,LOCALLY_SOLVED,1.3338707834380699,rwlav,100.0,rIVR,100.0
23,5,0.05164003372192383,84,OPTIMAL,3.412320470935088,rwlav,100.0,linIVR,100.0
23,5,0.29419612884521484,84,LOCALLY_SOLVED,0.6567257708723871,rwlav,100.0,rIVR,100.0
25,1,0.00864720344543457,26,OPTIMAL,0.9547810117509038,rwlav,100.0,linIVR,100.0
25,1,0.08350205421447754,26,LOCALLY_SOLVED,0.19289748070979473,rwlav,100.0,rIVR,100.0
25,2,0.016056060791015625,40,OPTIMAL,1.492474416726277,rwlav,100.0,linIVR,100.0
25,2,0.09975194931030273,40,LOCALLY_SOLVED,0.28707803897607587,rwlav,100.0,rIVR,100.0
25,3,0.010994911193847656,29,OPTIMAL,1.1010582097558537,rwlav,100.0,linIVR,100.0
25,3,0.07958483695983887,29,LOCALLY_SOLVED,0.21319660905906257,rwlav,100.0,rIVR,100.0
