ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol,err_max,err_avg,n_meas
1,1,0.5830001831054688,118,LOCALLY_SOLVED,62.55210298303306,rwlav,100.0,rIVR,mumps,1.0e-5,0.010635801065248973,0.0032848173545241177,146
1,1,0.559999942779541,118,LOCALLY_SOLVED,58.91395548299735,rwlav,100.0,rIVR,mumps,1.0e-5,0.007413885085680194,0.0033018662047633414,144
1,1,0.5510001182556152,118,LOCALLY_SOLVED,57.69562138669297,rwlav,100.0,rIVR,mumps,1.0e-5,0.012636518629990823,0.0033356299789694868,142
1,1,0.5510001182556152,118,LOCALLY_SOLVED,54.694229101687945,rwlav,100.0,rIVR,mumps,1.0e-5,0.01003068823040798,0.0033453160760578194,140
1,1,0.5299999713897705,118,LOCALLY_SOLVED,50.22431902565599,rwlav,100.0,rIVR,mumps,1.0e-5,0.041538003709098215,0.003948775550123904,138
1,1,0.5250000953674316,118,LOCALLY_SOLVED,48.79790327601858,rwlav,100.0,rIVR,mumps,1.0e-5,0.046007488864654444,0.00399176148213508,136
1,1,0.7640001773834229,118,LOCALLY_SOLVED,46.110551267770134,rwlav,100.0,rIVR,mumps,1.0e-5,0.05374692425502281,0.004006504005137668,134
1,1,0.7850000858306885,118,LOCALLY_SOLVED,42.613309013804376,rwlav,100.0,rIVR,mumps,1.0e-5,0.05424514797585123,0.004211358420792028,132
1,1,0.5529999732971191,118,LOCALLY_SOLVED,40.143486471953054,rwlav,100.0,rIVR,mumps,1.0e-5,0.05604488539764785,0.004247602571083421,130
1,1,0.49700021743774414,118,LOCALLY_SOLVED,39.0784883859703,rwlav,100.0,rIVR,mumps,1.0e-5,0.056341090751046874,0.004223653389587599,128
1,1,0.560999870300293,118,LOCALLY_SOLVED,36.87428363120468,rwlav,100.0,rIVR,mumps,1.0e-5,0.06179040140498504,0.0042186622039579085,126
1,1,0.5169999599456787,118,LOCALLY_SOLVED,33.804457428910176,rwlav,100.0,rIVR,mumps,1.0e-5,0.06446658120881965,0.004194835219444115,124
1,1,0.5829999446868896,118,LOCALLY_SOLVED,31.889561417235488,rwlav,100.0,rIVR,mumps,1.0e-5,0.05954874946486366,0.004249024846437513,122
