ntw,fdr,solve_time,n_bus,termination_status,objective,criterion,rescaler,eq_model,linear_solver,tol
9,5,0.7312290668487549,252,LOCALLY_SOLVED,195.25144840895612,rwlav,1000.0,rIVR,ma27,1.0e-5
9,6,0.015048027038574219,27,OPTIMAL,57.074416119397526,rwlav,1000.0,rIVR,gurobi,1.0e-5
9,6,0.06824994087219238,27,LOCALLY_SOLVED,44.40983421740856,rwlav,1000.0,rIVR,ma27,1.0e-5
10,1,0.016340017318725586,30,OPTIMAL,69.1420981714531,rwlav,1000.0,rIVR,gurobi,1.0e-5
10,1,0.07749009132385254,30,LOCALLY_SOLVED,42.9302409627574,rwlav,1000.0,rIVR,ma27,1.0e-5
10,2,0.0044248104095458984,16,OPTIMAL,40.97656600774863,rwlav,1000.0,rIVR,gurobi,1.0e-5
10,2,0.04101085662841797,16,LOCALLY_SOLVED,19.260644134336268,rwlav,1000.0,rIVR,ma27,1.0e-5
10,3,0.02252483367919922,46,OPTIMAL,42.169131185337385,rwlav,1000.0,rIVR,gurobi,1.0e-5
10,3,0.13158679008483887,46,LOCALLY_SOLVED,34.05496684694995,rwlav,1000.0,rIVR,ma27,1.0e-5
10,4,0.008472919464111328,23,OPTIMAL,37.71314614160175,rwlav,1000.0,rIVR,gurobi,1.0e-5
10,4,0.054162025451660156,23,LOCALLY_SOLVED,22.219128443652178,rwlav,1000.0,rIVR,ma27,1.0e-5
10,5,0.01038503646850586,24,OPTIMAL,42.8285805816687,rwlav,1000.0,rIVR,gurobi,1.0e-5
10,5,0.055699825286865234,24,LOCALLY_SOLVED,28.13685797220496,rwlav,1000.0,rIVR,ma27,1.0e-5
10,6,0.004998922348022461,19,OPTIMAL,35.47464427469979,rwlav,1000.0,rIVR,gurobi,1.0e-5
10,6,0.041831016540527344,19,LOCALLY_SOLVED,19.260348687133785,rwlav,1000.0,rIVR,ma27,1.0e-5
11,1,0.02255702018737793,42,OPTIMAL,69.38350532123006,rwlav,1000.0,rIVR,gurobi,1.0e-5
11,1,0.07781410217285156,42,LOCALLY_SOLVED,57.72660169286649,rwlav,1000.0,rIVR,ma27,1.0e-5
11,2,0.0028378963470458984,10,OPTIMAL,35.774204280485094,rwlav,1000.0,rIVR,gurobi,1.0e-5
11,2,0.026295900344848633,10,LOCALLY_SOLVED,16.302466000488195,rwlav,1000.0,rIVR,ma27,1.0e-5
11,3,0.034924983978271484,65,OPTIMAL,76.43422005982023,rwlav,1000.0,rIVR,gurobi,1.0e-5
11,3,0.16415691375732422,65,LOCALLY_SOLVED,60.69212013168571,rwlav,1000.0,rIVR,ma27,1.0e-5
11,4,0.0875699520111084,114,OPTIMAL,115.23476914211739,rwlav,1000.0,rIVR,gurobi,1.0e-5
11,4,0.31041407585144043,114,LOCALLY_SOLVED,101.25897120291326,rwlav,1000.0,rIVR,ma27,1.0e-5
11,5,0.15652012825012207,157,OPTIMAL,157.89955548763052,rwlav,1000.0,rIVR,gurobi,1.0e-5
11,5,0.4300072193145752,157,LOCALLY_SOLVED,139.14611190174864,rwlav,1000.0,rIVR,ma27,1.0e-5
12,1,0.45621800422668457,247,OPTIMAL,257.6669479703974,rwlav,1000.0,rIVR,gurobi,1.0e-5
12,1,0.830280065536499,247,LOCALLY_SOLVED,241.74281783412047,rwlav,1000.0,rIVR,ma27,1.0e-5
12,2,0.22295594215393066,167,OPTIMAL,152.66772284670446,rwlav,1000.0,rIVR,gurobi,1.0e-5
12,2,0.43682193756103516,167,LOCALLY_SOLVED,134.69201556974645,rwlav,1000.0,rIVR,ma27,1.0e-5
12,3,0.3259608745574951,153,OPTIMAL,233.61949094272268,rwlav,1000.0,rIVR,gurobi,1.0e-5
12,3,1.7219128608703613,153,LOCALLY_SOLVED,209.78624350769707,rwlav,1000.0,rIVR,ma27,1.0e-5
13,1,0.07639813423156738,89,OPTIMAL,101.4052460626217,rwlav,1000.0,rIVR,gurobi,1.0e-5
13,1,0.2305150032043457,89,LOCALLY_SOLVED,79.94872863589188,rwlav,1000.0,rIVR,ma27,1.0e-5
13,2,0.06573700904846191,82,OPTIMAL,81.93455145498443,rwlav,1000.0,rIVR,gurobi,1.0e-5
13,2,0.17441391944885254,82,LOCALLY_SOLVED,66.6052309222977,rwlav,1000.0,rIVR,ma27,1.0e-5
13,3,0.0021109580993652344,10,OPTIMAL,32.27393238015043,rwlav,1000.0,rIVR,gurobi,1.0e-5
13,3,0.020101070404052734,10,LOCALLY_SOLVED,14.78710933323732,rwlav,1000.0,rIVR,ma27,1.0e-5
13,4,0.15543580055236816,182,OPTIMAL,295.5234447263775,rwlav,1000.0,rIVR,gurobi,1.0e-5
13,4,0.6694550514221191,182,LOCALLY_SOLVED,9163.503427863923,rwlav,1000.0,rIVR,ma27,1.0e-5
15,1,0.2934610843658447,167,OPTIMAL,137.124881333733,rwlav,1000.0,rIVR,gurobi,1.0e-5
15,1,0.4194788932800293,167,LOCALLY_SOLVED,125.02654732844768,rwlav,1000.0,rIVR,ma27,1.0e-5
15,2,0.34023594856262207,200,OPTIMAL,232.28904111594844,rwlav,1000.0,rIVR,gurobi,1.0e-5
15,2,0.5527379512786865,200,LOCALLY_SOLVED,170.21141525974676,rwlav,1000.0,rIVR,ma27,1.0e-5
