meas_id,cmp_type,cmp_id,meas_type,meas_var,phase,dst,par_1,par_2
22,load,51,G,pd,3,Normal,-9.412297100000001e-6,0.0003333333333333333
23,load,51,G,qd,3,Normal,-4.169490785542534e-6,0.0003333333333333333
24,bus,75,G,vm,"[1, 2, 3]",Normal,"[1.0119431187093813, 1.0148270403133037, 1.009554515612057]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
25,load,53,G,pd,2,Normal,-4.813580910000001e-6,0.0003333333333333333
26,load,53,G,qd,2,Normal,-2.528458454955488e-6,0.0003333333333333333
27,bus,105,G,vm,"[1, 2, 3]",Normal,"[1.012255474380025, 1.0152798763299011, 1.00921521299174]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
28,load,27,G,pd,1,Normal,-1.1121013280000001e-5,0.0003333333333333333
29,load,27,G,qd,1,Normal,-4.908120901002112e-6,0.0003333333333333333
30,bus,51,G,vm,"[1, 2, 3]",Normal,"[1.0150418455557646, 1.0169840858682004, 1.0086376186381398]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
31,load,42,G,pd,2,Normal,-1.278972946e-5,0.0003333333333333333
32,load,42,G,qd,2,Normal,-5.634261020464893e-6,0.0003333333333333333
33,bus,70,G,vm,"[1, 2, 3]",Normal,"[1.0101586753854153, 1.0196915680518543, 1.0126063021166205]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
34,load,33,G,pd,1,Normal,-1.066972946e-5,0.0003333333333333333
35,load,33,G,qd,1,Normal,-4.9722912326346625e-6,0.0003333333333333333
36,bus,11,G,vm,"[1, 2, 3]",Normal,"[1.010703026020869, 1.0134872542072384, 1.0089263799822505]","[0.0016666666666666668, 0.0016666666666666668, 0.0016666666666666668]"
37,load,28,G,pd,3,Normal,-7.72358091e-6,0.0003333333333333333
38,load,28,G,qd,3,Normal,-3.4371056637224556e-6,0.0003333333333333333
